Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
5,40,3,0,0,5,median,1,0.0895
5,40,3,0,0,5,median,2,0.177
5,40,3,0,0,5,median,3,0.2905
5,40,3,0,0,5,median,4,0.2985
5,40,3,0,0,5,median,5,0.299
5,40,3,0,0,5,median,6,0.303
5,40,3,0,0,5,median,7,0.304
5,40,3,0,0,5,median,8,0.281
5,40,3,0,0,5,median,9,0.2755
5,40,3,0,0,5,median,10,0.265
5,40,3,0,0,5,median,11,0.275
5,40,3,0,0,5,median,12,0.288
5,40,3,0,0,5,median,13,0.268
5,40,3,0,0,5,median,14,0.2685
5,40,3,0,0,5,median,15,0.269
5,40,3,0,0,5,median,16,0.2595
5,40,3,0,0,5,median,17,0.2955
5,40,3,0,0,5,median,18,0.25
5,40,3,0,0,5,median,19,0.244
5,40,3,0,0,5,median,20,0.221
5,40,3,0,0,5,median,21,0.2385
5,40,3,0,0,5,median,22,0.2335
5,40,3,0,0,5,median,23,0.1915
5,40,3,0,0,5,median,24,0.191
5,40,3,0,0,5,median,25,0.177
5,40,3,0,0,5,median,26,0.193
5,40,3,0,0,5,median,27,0.187
5,40,3,0,0,5,median,28,0.181
5,40,3,0,0,5,median,29,0.1825
5,40,3,0,0,5,median,30,0.176
5,40,3,0,0,5,median,31,0.1815
5,40,3,0,0,5,median,32,0.1855
5,40,3,0,0,5,median,33,0.1325
5,40,3,0,0,5,median,34,0.2005
5,40,3,0,0,5,median,35,0.1065
5,40,3,0,0,5,median,36,0.0895
5,40,3,0,0,5,median,37,0.097
5,40,3,0,0,5,median,38,0.1065
5,40,3,0,0,5,median,39,0.0955
5,40,3,0,0,5,median,40,0.116
