Number of Rounds,Number of Epochs,Round,Global Accuracy
60,5,38,0.455
60,5,39,0.469
60,5,40,0.447
60,5,41,0.452
60,5,42,0.461
60,5,43,0.449
60,5,44,0.457
60,5,45,0.469
60,5,46,0.408
60,5,47,0.44
60,5,48,0.461
60,5,49,0.441
60,5,50,0.395
60,5,51,0.425
60,5,52,0.446
60,5,53,0.367
60,5,54,0.432
60,5,55,0.451
60,5,56,0.461
60,5,57,0.432
60,5,58,0.419
60,5,59,0.444
60,5,60,0.428
60,6,1,0.078
60,6,2,0.108
60,6,3,0.325
60,6,4,0.379
60,6,5,0.384
60,6,6,0.439
60,6,7,0.468
60,6,8,0.477
60,6,9,0.469
60,6,10,0.466
60,6,11,0.471
60,6,12,0.474
60,6,13,0.474
60,6,14,0.473
60,6,15,0.478
60,6,16,0.471
60,6,17,0.477
60,6,18,0.486
60,6,19,0.487
60,6,20,0.477
60,6,21,0.466
60,6,22,0.484
60,6,23,0.476
60,6,24,0.474
60,6,25,0.474
60,6,26,0.465
60,6,27,0.454
60,6,28,0.473
60,6,29,0.474
60,6,30,0.473
60,6,31,0.477
60,6,32,0.454
60,6,33,0.478
60,6,34,0.453
60,6,35,0.468
60,6,36,0.478
60,6,37,0.473
60,6,38,0.479
60,6,39,0.462
60,6,40,0.478
60,6,41,0.386
60,6,42,0.426
60,6,43,0.472
60,6,44,0.472
60,6,45,0.433
60,6,46,0.421
60,6,47,0.429
60,6,48,0.412
60,6,49,0.37
60,6,50,0.431
60,6,51,0.438
60,6,52,0.375
60,6,53,0.366
60,6,54,0.314
60,6,55,0.348
60,6,56,0.315
60,6,57,0.369
60,6,58,0.341
60,6,59,0.364
60,6,60,0.321
60,7,1,0.078
60,7,2,0.193
60,7,3,0.282
60,7,4,0.342
60,7,5,0.393
60,7,6,0.393
60,7,7,0.404
60,7,8,0.408
60,7,9,0.422
60,7,10,0.431
60,7,11,0.419
60,7,12,0.433
60,7,13,0.434
60,7,14,0.452
60,7,15,0.432
60,7,16,0.45
60,7,17,0.448
60,7,18,0.434
60,7,19,0.448
60,7,20,0.46
60,7,21,0.449
60,7,22,0.462
60,7,23,0.441
60,7,24,0.469
60,7,25,0.459
60,7,26,0.45
60,7,27,0.44
60,7,28,0.452
60,7,29,0.447
60,7,30,0.474
60,7,31,0.445
60,7,32,0.451
60,7,33,0.474
60,7,34,0.471
60,7,35,0.468
60,7,36,0.459
60,7,37,0.462
60,7,38,0.448
60,7,39,0.407
60,7,40,0.453
60,7,41,0.479
60,7,42,0.458
60,7,43,0.466
60,7,44,0.426
60,7,45,0.447
60,7,46,0.433
60,7,47,0.452
60,7,48,0.485
60,7,49,0.402
60,7,50,0.456
60,7,51,0.414
60,7,52,0.462
60,7,53,0.39
60,7,54,0.428
60,7,55,0.355
60,7,56,0.417
60,7,57,0.439
60,7,58,0.379
60,7,59,0.431
60,7,60,0.392
60,8,1,0.078
60,8,2,0.195
60,8,3,0.313
60,8,4,0.359
60,8,5,0.38
60,8,6,0.379
60,8,7,0.405
60,8,8,0.4
60,8,9,0.409
60,8,10,0.408
60,8,11,0.417
60,8,12,0.423
60,8,13,0.431
60,8,14,0.447
60,8,15,0.448
60,8,16,0.44
60,8,17,0.452
60,8,18,0.438
60,8,19,0.446
60,8,20,0.431
60,8,21,0.427
60,8,22,0.441
60,8,23,0.421
60,8,24,0.453
60,8,25,0.419
60,8,26,0.406
60,8,27,0.445
60,8,28,0.372
60,8,29,0.452
60,8,30,0.452
60,8,31,0.42
60,8,32,0.445
60,8,33,0.459
60,8,34,0.431
60,8,35,0.398
60,8,36,0.363
60,8,37,0.391
60,8,38,0.399
60,8,39,0.448
60,8,40,0.416
60,8,41,0.418
60,8,42,0.454
60,8,43,0.454
60,8,44,0.437
60,8,45,0.394
60,8,46,0.409
60,8,47,0.349
60,8,48,0.466
60,8,49,0.463
60,8,50,0.467
60,8,51,0.409
60,8,52,0.47
60,8,53,0.462
60,8,54,0.449
60,8,55,0.41
60,8,56,0.468
60,8,57,0.448
60,8,58,0.469
60,8,59,0.471
60,8,60,0.4
60,9,1,0.078
60,9,2,0.181
60,9,3,0.254
60,9,4,0.317
60,9,5,0.337
60,9,6,0.348
60,9,7,0.354
60,9,8,0.377
60,9,9,0.387
60,9,10,0.4
60,9,11,0.403
60,9,12,0.403
60,9,13,0.406
60,9,14,0.407
60,9,15,0.411
60,9,16,0.427
60,9,17,0.425
60,9,18,0.433
60,9,19,0.431
60,9,20,0.445
60,9,21,0.452
60,9,22,0.453
60,9,23,0.452
60,9,24,0.461
60,9,25,0.481
60,9,26,0.455
60,9,27,0.458
60,9,28,0.47
60,9,29,0.472
60,9,30,0.47
60,9,31,0.477
60,9,32,0.479
60,9,33,0.457
60,9,34,0.473
60,9,35,0.483
60,9,36,0.476
60,9,37,0.455
60,9,38,0.463
60,9,39,0.455
60,9,40,0.446
60,9,41,0.442
60,9,42,0.406
60,9,43,0.463
60,9,44,0.458
60,9,45,0.459
60,9,46,0.379
60,9,47,0.394
60,9,48,0.435
60,9,49,0.445
60,9,50,0.445
60,9,51,0.407
60,9,52,0.381
60,9,53,0.418
60,9,54,0.441
60,9,55,0.429
60,9,56,0.364
60,9,57,0.361
60,9,58,0.395
60,9,59,0.348
60,9,60,0.395
60,10,1,0.1
60,10,2,0.177
60,10,3,0.316
60,10,4,0.395
60,10,5,0.431
60,10,6,0.425
60,10,7,0.43
60,10,8,0.444
60,10,9,0.425
60,10,10,0.433
60,10,11,0.458
60,10,12,0.447
60,10,13,0.452
60,10,14,0.461
60,10,15,0.452
60,10,16,0.452
60,10,17,0.442
60,10,18,0.457
60,10,19,0.446
60,10,20,0.442
60,10,21,0.453
60,10,22,0.431
60,10,23,0.425
60,10,24,0.436
60,10,25,0.425
60,10,26,0.412
60,10,27,0.426
60,10,28,0.443
60,10,29,0.434
60,10,30,0.432
60,10,31,0.428
60,10,32,0.404
60,10,33,0.358
60,10,34,0.365
60,10,35,0.428
60,10,36,0.414
60,10,37,0.433
60,10,38,0.436
60,10,39,0.474
60,10,40,0.439
60,10,41,0.434
60,10,42,0.379
60,10,43,0.462
60,10,44,0.39
60,10,45,0.436
60,10,46,0.32
60,10,47,0.418
60,10,48,0.448
60,10,49,0.361
60,10,50,0.417
60,10,51,0.374
60,10,52,0.376
60,10,53,0.377
60,10,54,0.384
60,10,55,0.417
60,10,56,0.416
60,10,57,0.289
60,10,58,0.302
60,10,59,0.331
60,10,60,0.329
