Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Round,Global Accuracy
50,4,0,1,0.103
50,4,0,2,0.1965
50,4,0,3,0.274
50,4,0,4,0.3645
50,4,0,5,0.393
50,4,0,6,0.4035
50,4,0,7,0.424
50,4,0,8,0.4255
50,4,0,9,0.4285
50,4,0,10,0.427
50,4,0,11,0.4325
50,4,0,12,0.426
50,4,0,13,0.4395
50,4,0,14,0.4515
50,4,0,15,0.4485
50,4,0,16,0.453
50,4,0,17,0.446
50,4,0,18,0.4485
50,4,0,19,0.4425
50,4,0,20,0.4255
50,4,0,21,0.4405
50,4,0,22,0.459
50,4,0,23,0.446
50,4,0,24,0.438
50,4,0,25,0.448
50,4,0,26,0.429
50,4,0,27,0.468
50,4,0,28,0.429
50,4,0,29,0.3495
50,4,0,30,0.354
50,4,0,31,0.439
50,4,0,32,0.417
50,4,0,33,0.4155
50,4,0,34,0.4405
50,4,0,35,0.4435
50,4,0,36,0.4315
50,4,0,37,0.409
50,4,0,38,0.3965
50,4,0,39,0.422
50,4,0,40,0.3635
50,4,0,41,0.4125
50,4,0,42,0.452
50,4,0,43,0.426
50,4,0,44,0.431
50,4,0,45,0.3995
50,4,0,46,0.3325
50,4,0,47,0.36
50,4,0,48,0.389
50,4,0,49,0.4325
50,4,0,50,0.4065
50,4,1,1,0.0895
50,4,1,2,0.157
50,4,1,3,0.2865
50,4,1,4,0.313
50,4,1,5,0.3215
50,4,1,6,0.3815
50,4,1,7,0.3395
50,4,1,8,0.403
50,4,1,9,0.38
50,4,1,10,0.414
50,4,1,11,0.4035
50,4,1,12,0.387
50,4,1,13,0.401
50,4,1,14,0.4045
50,4,1,15,0.416
50,4,1,16,0.405
50,4,1,17,0.3875
50,4,1,18,0.3665
50,4,1,19,0.4185
50,4,1,20,0.4305
50,4,1,21,0.429
50,4,1,22,0.363
50,4,1,23,0.353
50,4,1,24,0.403
50,4,1,25,0.3945
50,4,1,26,0.4135
50,4,1,27,0.4295
50,4,1,28,0.38
50,4,1,29,0.3185
50,4,1,30,0.3735
50,4,1,31,0.3985
50,4,1,32,0.3775
50,4,1,33,0.406
50,4,1,34,0.369
50,4,1,35,0.3065
50,4,1,36,0.3435
50,4,1,37,0.3565
