Number of Rounds,Number of Epochs,Round,Average Loss,Global Accuracy
70,1,51,1.5943530007839204,0.449
70,1,52,1.6027022572517395,0.446
70,1,53,1.5858753512382506,0.436
70,1,54,1.590490687274933,0.444
70,1,55,1.5673450343132018,0.459
70,1,56,1.5824522364139557,0.457
70,1,57,1.603477998495102,0.4495
70,1,58,1.5664514606475828,0.461
70,1,59,1.568350611591339,0.444
70,1,60,1.6027865789413454,0.441
70,1,61,1.586607378387451,0.447
70,1,62,1.5774505217075347,0.4625
70,1,63,1.5981509222507477,0.4525
70,1,64,1.5899191874027252,0.4395
70,1,65,1.5831383947372435,0.456
70,1,66,1.56739369225502,0.468
70,1,67,1.6150312494277954,0.4485
70,1,68,1.6188429648399354,0.423
70,1,69,1.617083522415161,0.4495
70,1,70,1.631022258758545,0.428
70,2,1,4.004855032062531,0.0895
70,2,2,3.891613876342774,0.2435
70,2,3,3.711040530204773,0.3145
70,2,4,3.581028418636322,0.3385
70,2,5,3.4852431979179386,0.3635
70,2,6,3.421782494354248,0.368
70,2,7,3.364426047992706,0.397
70,2,8,3.3118499349594117,0.4135
70,2,9,3.263391820240021,0.407
70,2,10,3.2456111429214483,0.4185
70,2,11,3.2032417087078096,0.416
70,2,12,3.174738512659073,0.424
70,2,13,3.15654919013977,0.4265
70,2,14,3.160893088197708,0.4395
70,2,15,3.1453111635684965,0.4245
70,2,16,3.145233672046661,0.432
70,2,17,3.1321968158245084,0.44
70,2,18,3.1502385155677795,0.4345
70,2,19,3.121236257886886,0.4465
70,2,20,3.107862885570526,0.4445
70,2,21,3.0924563187599183,0.456
70,2,22,3.089383664369583,0.445
70,2,23,3.1247343709945676,0.4455
70,2,24,3.0799811517715456,0.465
70,2,25,3.0657209160804753,0.4415
70,2,26,3.064181388664246,0.4645
70,2,27,3.105955790042877,0.4615
70,2,28,3.1161032352924343,0.4565
70,2,29,3.091268035888672,0.456
70,2,30,3.081746036672592,0.461
70,2,31,3.1043721357345584,0.425
70,2,32,3.0484980495452882,0.4595
70,2,33,3.162662958717346,0.439
70,2,34,3.0524029413700102,0.462
70,2,35,3.1011472999572756,0.4625
70,2,36,3.1262389559268953,0.4565
70,2,37,3.079176432418823,0.445
70,2,38,3.142243014764786,0.417
70,2,39,3.190853831005096,0.447
70,2,40,3.1282715464591977,0.4485
70,2,41,3.1509250834465026,0.461
70,2,42,3.1479739254951475,0.422
70,2,43,3.0995272485256193,0.4225
70,2,44,3.1042823909759525,0.37
70,2,45,3.1964562798500062,0.418
70,2,46,3.18338872551918,0.452
70,2,47,3.1792130162239074,0.4085
70,2,48,3.114984272003174,0.4585
70,2,49,3.184573537969589,0.348
70,2,50,3.0972961422920227,0.4505
70,2,51,3.0854021018028255,0.461
70,2,52,3.16429147310257,0.472
70,2,53,3.250107742977142,0.425
70,2,54,3.200169043636323,0.448
70,2,55,3.107208455848694,0.455
70,2,56,3.1117061910152435,0.4795
70,2,57,3.180243736362457,0.4525
70,2,58,3.1392247235774993,0.4405
70,2,59,3.2448578250408175,0.4445
70,2,60,3.161704336929321,0.4325
70,2,61,3.1108548961162565,0.4505
70,2,62,3.124399542188644,0.448
70,2,63,3.330025931739807,0.384
70,2,64,3.200062521839142,0.387
70,2,65,3.141071245574951,0.4465
70,2,66,3.187102056121826,0.42
70,2,67,3.1744234192371374,0.445
70,2,68,3.2007404881477357,0.426
70,2,69,3.264084355831146,0.458
70,2,70,3.152865374374389,0.4625
70,3,1,5.818604577732087,0.0895
70,3,2,5.959018365192414,0.1755
70,3,3,5.706825357723236,0.2665
70,3,4,5.548481614017486,0.305
70,3,5,5.3812210680007935,0.351
70,3,6,5.225885977649689,0.3685
70,3,7,5.106738583946227,0.3775
70,3,8,5.030629460430146,0.393
70,3,9,4.96923036184311,0.396
70,3,10,4.919739648151397,0.405
70,3,11,4.870740048694611,0.414
70,3,12,4.83508089876175,0.4135
70,3,13,4.768983997774124,0.426
70,3,14,4.781777864599228,0.425
70,3,15,4.747670609664917,0.4225
70,3,16,4.740092350101472,0.4245
70,3,17,4.795088969039917,0.424
70,3,18,4.683189570760726,0.4325
70,3,19,4.754353800153733,0.437
70,3,20,4.672694999504089,0.4345
70,3,21,4.641315199089051,0.434
70,3,22,4.683703037929535,0.432
70,3,23,4.68671610121727,0.438
70,3,24,4.690302094602584,0.4145
70,3,25,4.709172425413132,0.429
70,3,26,4.756742389822006,0.423
70,3,27,4.83916998205185,0.4315
70,3,28,4.724130009555816,0.4175
70,3,29,4.766865793132782,0.427
70,3,30,4.810780029392243,0.434
70,3,31,4.724431806707382,0.425
70,3,32,4.74008896727562,0.43
70,3,33,4.85051118645668,0.405
70,3,34,4.825131604194642,0.4065
70,3,35,4.868017513656616,0.396
70,3,36,4.82257180891037,0.4215
70,3,37,4.781248294448853,0.3775
70,3,38,4.72109419631958,0.4575
70,3,39,4.836399028635026,0.39
70,3,40,4.8632459667682655,0.3785
70,3,41,4.985980990076065,0.4155
70,3,42,4.819556901741028,0.4065
70,3,43,4.88485274553299,0.4225
70,3,44,4.894499428606033,0.4245
70,3,45,4.823300310087204,0.4285
70,3,46,4.820773320627213,0.441
70,3,47,4.752480128145217,0.44
70,3,48,4.7125790969848635,0.423
70,3,49,4.802667244529724,0.437
70,3,50,4.719695782852172,0.438
70,3,51,4.758155427265168,0.408
70,3,52,4.687832454347611,0.4525
70,3,53,4.746394694662095,0.3565
70,3,54,4.851069505643844,0.384
70,3,55,4.826198980569839,0.4325
70,3,56,4.81023815741539,0.397
70,3,57,4.8294125594139095,0.3815
70,3,58,4.841944358825684,0.298
70,3,59,4.807360149002076,0.3945
70,3,60,4.950319687795639,0.406
70,3,61,4.770791469860077,0.4135
70,3,62,4.873918116044999,0.3765
70,3,63,4.799681941795349,0.423
70,3,64,4.892685026264191,0.3875
70,3,65,4.778710946750641,0.3815
70,3,66,4.918891099500657,0.402
70,3,67,4.870441379022598,0.4165
70,3,68,4.755067035341263,0.413
70,3,69,4.769491425991058,0.374
70,3,70,4.903706626081467,0.366
70,4,1,7.607313275432588,0.129
70,4,2,7.154425104141235,0.2145
70,4,3,6.747984694480896,0.3845
70,4,4,6.470320769739152,0.424
70,4,5,6.273540171337126,0.442
70,4,6,6.162746750259399,0.4385
70,4,7,6.030707934093475,0.4435
70,4,8,5.987124036455154,0.461
70,4,9,5.9188860188484185,0.468
70,4,10,5.84427498884201,0.4675
70,4,11,5.81515818195343,0.4765
70,4,12,5.759081976461411,0.4745
70,4,13,5.801979648685455,0.4695
70,4,14,5.778077677869796,0.468
70,4,15,5.744034629440308,0.476
70,4,16,5.739275360441208,0.47
70,4,17,5.785231224870682,0.4785
70,4,18,5.759521858263016,0.4895
70,4,19,5.809401470804215,0.478
70,4,20,5.800869203329086,0.4865
70,4,21,5.872932930278779,0.484
70,4,22,5.923062938547135,0.484
70,4,23,6.002599756336212,0.482
70,4,24,5.879993019866943,0.4785
70,4,25,6.075250291728973,0.4725
70,4,26,5.983757643842697,0.477
70,4,27,6.240278746032715,0.465
70,4,28,6.077000960826874,0.4675
70,4,29,6.22298899693489,0.313
70,4,30,6.319109834003449,0.475
70,4,31,6.044586859846115,0.482
70,4,32,6.239266628456115,0.4725
70,4,33,6.0524159122943875,0.4445
70,4,34,6.308413257026673,0.439
70,4,35,6.3686297047615055,0.412
70,4,36,6.120817346525191,0.4785
70,4,37,6.3532529880046855,0.451
70,4,38,6.3648748880863195,0.3485
70,4,39,6.228697280168533,0.445
70,4,40,6.13172633061409,0.4305
70,4,41,6.292035806846618,0.411
70,4,42,6.197417071151733,0.3995
70,4,43,6.3277119015693675,0.4425
70,4,44,6.223269920253754,0.455
70,4,45,6.299001220417023,0.3735
70,4,46,6.334746697711944,0.4335
70,4,47,6.291649889755249,0.414
70,4,48,6.233688276052474,0.4355
70,4,49,6.330020437955857,0.4005
70,4,50,6.45802985162735,0.418
70,4,51,6.427951657676698,0.405
70,4,52,6.257750859594345,0.448
70,4,53,6.272419311094284,0.4355
70,4,54,6.234493113088607,0.3645
70,4,55,6.268815569448471,0.441
70,4,56,6.597991971778869,0.4205
70,4,57,6.265693139410019,0.43
70,4,58,6.5554183222770686,0.3675
70,4,59,6.400097053146363,0.419
70,4,60,6.28455571680069,0.4215
70,4,61,6.33061070189476,0.398
70,4,62,6.385677120494842,0.4495
70,4,63,6.297759491968155,0.442
70,4,64,6.391129345989227,0.4015
70,4,65,6.241962171459198,0.4165
70,4,66,6.474496984863282,0.389
70,4,67,6.4043804429531095,0.452
70,4,68,6.429887674617767,0.3415
70,4,69,6.654849504947663,0.285
70,4,70,6.313590223646164,0.3795
70,5,1,9.484328933429719,0.0895
70,5,2,9.448280107593536,0.1635
70,5,3,9.275070131874084,0.2605
70,5,4,8.796260235500336,0.3405
70,5,5,8.356471493911744,0.401
70,5,6,7.9624854818344115,0.4405
70,5,7,7.791284604978562,0.4435
70,5,8,7.674878666973115,0.4535
70,5,9,7.666374692773819,0.4535
70,5,10,7.547474050092697,0.456
70,5,11,7.5465689187049865,0.4595
70,5,12,7.511396010065079,0.4715
70,5,13,7.503789229536056,0.467
70,5,14,7.59061279015541,0.453
70,5,15,7.573400118350984,0.464
70,5,16,7.521647131061554,0.4545
70,5,17,7.54688996477127,0.4595
70,5,18,7.508128978967667,0.4575
70,5,19,7.569364290809631,0.4435
70,5,20,7.818360890531541,0.4075
70,5,21,7.501279685974121,0.461
70,5,22,7.594084301519393,0.46
70,5,23,7.650863164520264,0.422
70,5,24,7.4741530314445495,0.4765
70,5,25,7.431221202707292,0.4695
70,5,26,7.645265364265443,0.471
70,5,27,7.549077468061446,0.477
70,5,28,7.70772762107849,0.4605
70,5,29,8.054421260404586,0.4425
70,5,30,7.494247882556915,0.4875
70,5,31,7.5067882036209115,0.4845
70,5,32,7.526026838493347,0.46
70,5,33,7.644044883251189,0.4715
70,5,34,7.500419044399261,0.4685
70,5,35,7.550572597742081,0.469
70,5,36,7.67070021648407,0.376
70,5,37,7.664190980768204,0.475
70,5,38,7.507865557050705,0.483
70,5,39,7.657775709676743,0.456
70,5,40,7.735282642555236,0.4705
70,5,41,7.618347180318833,0.4815
70,5,42,7.577421070575714,0.4585
70,5,43,7.760948509216308,0.4355
70,5,44,8.012115866565704,0.4085
70,5,45,7.778862157964707,0.4245
70,5,46,7.769168623161316,0.482
70,5,47,7.6533419453144065,0.434
70,5,48,8.015011275196077,0.3835
70,5,49,7.941376477384567,0.4285
70,5,50,7.987383917427063,0.3725
70,5,51,7.672925726890564,0.4525
70,5,52,7.997480051136018,0.3745
70,5,53,7.9229403551101685,0.414
70,5,54,8.072735928821563,0.401
70,5,55,7.856445223665238,0.427
70,5,56,7.894936757946015,0.463
70,5,57,8.276888096952439,0.4595
70,5,58,7.7205026193141935,0.4775
70,5,59,7.778123260784151,0.445
70,5,60,7.879584008550642,0.4685
70,5,61,8.10919720478058,0.4055
70,5,62,7.99097491993904,0.4415
70,5,63,8.072141526985167,0.442
70,5,64,7.802766813707352,0.475
70,5,65,8.14564555273056,0.3885
70,5,66,8.20313750834465,0.3955
70,5,67,7.938498276853562,0.3715
70,5,68,8.085614260959625,0.422
70,5,69,7.834897548913955,0.4695
70,5,70,8.427424932765959,0.3985
