Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Round,Global Accuracy
70,3,4,20,0.278
70,3,4,21,0.282
70,3,4,22,0.325
70,3,4,23,0.296
70,3,4,24,0.249
70,3,4,25,0.27
70,3,4,26,0.35
70,3,4,27,0.332
70,3,4,28,0.263
70,3,4,29,0.314
70,3,4,30,0.322
70,3,4,31,0.282
70,3,4,32,0.275
70,3,4,33,0.277
70,3,4,34,0.318
70,3,4,35,0.298
70,3,4,36,0.28
70,3,4,37,0.251
70,3,4,38,0.287
70,3,4,39,0.311
70,3,4,40,0.315
70,3,4,41,0.322
70,3,4,42,0.301
70,3,4,43,0.265
70,3,4,44,0.31
70,3,4,45,0.288
70,3,4,46,0.292
70,3,4,47,0.285
70,3,4,48,0.287
70,3,4,49,0.297
70,3,4,50,0.277
70,3,4,51,0.282
70,3,4,52,0.305
70,3,4,53,0.287
70,3,4,54,0.293
70,3,4,55,0.298
70,3,4,56,0.306
70,3,4,57,0.294
70,3,4,58,0.227
70,3,4,59,0.3
70,3,4,60,0.337
70,3,4,61,0.288
70,3,4,62,0.303
70,3,4,63,0.223
70,3,4,64,0.307
70,3,4,65,0.246
70,3,4,66,0.335
70,3,4,67,0.307
70,3,4,68,0.245
70,3,4,69,0.266
70,3,4,70,0.249
70,3,5,1,0.121
70,3,5,2,0.114
70,3,5,3,0.142
70,3,5,4,0.23
70,3,5,5,0.283
70,3,5,6,0.267
70,3,5,7,0.283
70,3,5,8,0.273
70,3,5,9,0.292
70,3,5,10,0.315
70,3,5,11,0.278
70,3,5,12,0.294
70,3,5,13,0.248
70,3,5,14,0.258
70,3,5,15,0.244
70,3,5,16,0.291
70,3,5,17,0.239
70,3,5,18,0.261
70,3,5,19,0.239
70,3,5,20,0.215
70,3,5,21,0.272
70,3,5,22,0.27
70,3,5,23,0.277
70,3,5,24,0.207
70,3,5,25,0.236
70,3,5,26,0.185
70,3,5,27,0.175
70,3,5,28,0.189
70,3,5,29,0.227
70,3,5,30,0.175
70,3,5,31,0.261
70,3,5,32,0.219
70,3,5,33,0.242
70,3,5,34,0.197
70,3,5,35,0.198
70,3,5,36,0.211
70,3,5,37,0.202
70,3,5,38,0.228
70,3,5,39,0.19
70,3,5,40,0.256
70,3,5,41,0.24
70,3,5,42,0.195
70,3,5,43,0.233
70,3,5,44,0.203
70,3,5,45,0.195
70,3,5,46,0.236
70,3,5,47,0.171
70,3,5,48,0.163
70,3,5,49,0.186
70,3,5,50,0.206
70,3,5,51,0.19
70,3,5,52,0.184
70,3,5,53,0.196
70,3,5,54,0.165
70,3,5,55,0.198
70,3,5,56,0.167
70,3,5,57,0.171
70,3,5,58,0.123
70,3,5,59,0.202
70,3,5,60,0.186
70,3,5,61,0.192
70,3,5,62,0.187
70,3,5,63,0.121
70,3,5,64,0.212
70,3,5,65,0.114
70,3,5,66,0.169
70,3,5,67,0.218
70,3,5,68,0.154
70,3,5,69,0.21
70,3,5,70,0.171
70,3,6,1,0.078
70,3,6,2,0.078
70,3,6,3,0.109
70,3,6,4,0.087
70,3,6,5,0.1
70,3,6,6,0.1
70,3,6,7,0.121
70,3,6,8,0.087
70,3,6,9,0.078
70,3,6,10,0.087
70,3,6,11,0.109
70,3,6,12,0.093
70,3,6,13,0.114
70,3,6,14,0.108
70,3,6,15,0.121
70,3,6,16,0.109
70,3,6,17,0.109
70,3,6,18,0.078
70,3,6,19,0.109
70,3,6,20,0.078
70,3,6,21,0.078
70,3,6,22,0.109
70,3,6,23,0.109
70,3,6,24,0.109
70,3,6,25,0.1
70,3,6,26,0.114
70,3,6,27,0.108
70,3,6,28,0.109
70,3,6,29,0.108
70,3,6,30,0.093
70,3,6,31,0.109
70,3,6,32,0.087
70,3,6,33,0.109
70,3,6,34,0.087
70,3,6,35,0.078
70,3,6,36,0.087
70,3,6,37,0.087
70,3,6,38,0.087
70,3,6,39,0.087
70,3,6,40,0.108
70,3,6,41,0.109
70,3,6,42,0.109
70,3,6,43,0.108
